"Header1","Header2","Header3"
"assistant audit officer","audit","10"
"assistant audit officer","administration","4"
"assistant audit officer","compliance audit","4"
"assistant audit officer","it audit","4"
"assistant audit officer","performance audit","4"
"assistant audit officer","auditing","3"
"assistant audit officer","data analysis","3"
"assistant audit officer","financial audit","3"
"assistant audit officer","rules","3"
"assistant audit officer"," financial audit","2"
"assistant audit officer","audit ","2"
"assistant audit officer","budget","2"
"assistant audit officer","disciplinary cases","2"
"assistant audit officer","noting","2"
"assistant audit officer","planning","2"
"assistant audit officer","promotion","2"
"assistant audit officer","reporting","2"
"assistant audit officer"," 5. preparing audit finding matrix after finishing the audit work","1"
"assistant audit officer"," account","1"
"assistant audit officer"," administrative work on eoffice","1"
"assistant audit officer"," assess training need analysis","1"
"assistant audit officer"," audit of compliance","1"
"assistant audit officer"," audit of pos","1"
"assistant audit officer"," auditing of psus ","1"
"assistant audit officer"," budget","1"
"assistant audit officer"," budget management and training analysis","1"
"assistant audit officer"," check withdrawal","1"
"assistant audit officer"," checks the departments records  with existing rules, provisions, and legal precedents","1"
"assistant audit officer"," checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents  -   supplies missing facts to a proposal if any information is missing  -   supports drafting of proposals  -   quotes previous precedents by referring to existing rules","1"
"assistant audit officer"," co-ordination","1"
"assistant audit officer"," complilation ","1"
"assistant audit officer"," correspondence with auditee units and hqrs office","1"
"assistant audit officer"," data analysis","1"
"assistant audit officer"," drafting","1"
"assistant audit officer"," engineering civil works","1"
"assistant audit officer"," ensure cyber security ","1"
"assistant audit officer"," excel etc. ","1"
"assistant audit officer"," execution of audit","1"
"assistant audit officer"," gst act","1"
"assistant audit officer"," income tax act","1"
"assistant audit officer"," information systems audit ","1"
"assistant audit officer"," macp ","1"
"assistant audit officer"," material management","1"
"assistant audit officer"," mechanical","1"
"assistant audit officer"," ms word ","1"
"assistant audit officer"," operating","1"
"assistant audit officer"," performance audit","1"
"assistant audit officer"," pfms ","1"
"assistant audit officer"," planning process","1"
"assistant audit officer"," preparing salary slips","1"
"assistant audit officer"," scrutnizing","1"
"assistant audit officer"," signaling and telecommunication","1"
"assistant audit officer"," sql","1"
"assistant audit officer"," tableau","1"
"assistant audit officer"," training","1"
"assistant audit officer"," training departmental employees","1"
"assistant audit officer"," verifying stock register","1"
"assistant audit officer"," work on data ","1"
"assistant audit officer","2. conducting risk analysis to pin point area/topic for audit","1"
